Source,Target,Weight
Pompey,Caesar,300
Antony,Caesar,135
Cato,Caesar,101
Caesar,Brutus,74
Cicero,Caesar,62
Cassius,Caesar,45
Augustus,Caesar,36
Crassus,Caesar,31
Curio,Caesar,23
Decimus Brutus,Caesar,22
Sulla,Caesar,20
Metellus Scipio,Caesar,17
Bibulus,Caesar,16
Juba,Caesar,16
Dolabella,Caesar,16
Petreius,Caesar,15
Clodius,Caesar,14
Sextus Pompey,Caesar,14
Cleopatra,Caesar,13
Lucius Domitius Ahenobarbus,Caesar,12
Lepidus,Caesar,11
Lucius Calpurnius Piso,Caesar,10
Marius,Caesar,10
Trebonius,Caesar,10
Gaius Claudius Marcellus Minor,Caesar,9
Afranius,Caesar,9
Gnaeus Pompey,Caesar,9
Casca,Caesar,9
Ptolemy XIII,Caesar,8
Varus,Caesar,7
Asinius Pollio,Caesar,6
Pharnaces,Caesar,6
Tillius Cimber,Caesar,6
Metellus Nepos,Caesar,6
Caecilius Bassus,Caesar,4
Quintus Catulus Capitolinus,Caesar,4
Cinna,Caesar,3
Cato the son,Caesar,3
Catiline,Caesar,3
Favonius,Caesar,3
Gaius Marius,Caesar,3
Lucullus,Caesar,2
Gabinius,Caesar,2
Domitius Ahenobarbus,Caesar,2
Quintus Cicero,Caesar,2
Gaius Antonius,Caesar,2
Ptolemy XII Auletes,Caesar,2
Silanus,Caesar,2
Fulvia,Caesar,2
Augustus,Antony,395
Caesar,Antony,135
Antony,Sextus Pompey,73
Brutus,Antony,73
Cicero,Antony,69
Lepidus,Antony,62
Antony,Cleopatra,55
Cassius,Antony,42
Decimus Brutus,Antony,41
Fulvia,Antony,31
Dolabella,Antony,28
Antony,Munatius Plancus,22
Publius Ventidius Bassus,Antony,22
Domitius Ahenobarbus,Antony,22
Pompey,Antony,20
Octavia,Antony,20
Hirtius,Antony,17
Calenus,Antony,15
Asinius Pollio,Antony,13
Curio,Antony,12
Pansa,Antony,11
Lucius Antonius,Antony,11
Titius,Antony,7
Crassus,Antony,6
Trebonius,Antony,5
Gaius Antonius,Antony,5
Agrippa,Antony,5
Atticus,Antony,5
Gabinius,Antony,4
Furnius,Antony,4
Lucius Calpurnius Piso,Antony,3
Murcus,Antony,3
Salvidienus,Antony,3
Gaius Claudius Marcellus Minor,Antony,3
Menodorus,Antony,3
Lentulus Sura,Antony,2
Clodius,Antony,2
Ptolemy XII Auletes,Antony,2
Gaius Calvisius,Antony,2
